                              GENEMARK PREDICTIONS

Sequence: AD-820-E17_NODE_1_length_88502_cov_101.2_ID_1
Sequence file: seq.fna
Sequence length: 702326
GC Content:  34.52%
Window length: 96
Window step: 12
Threshold value: 0.500
---
Matrix: Heuristic, GC = 34
Matrix author: Borodovsky Laboratory - Georgia Tech, School of Biology, Atlanta, GA, USA
Matrix order: 2

List of Open reading frames predicted as CDSs, shown with alternate starts
(regions from start to stop codon w/ coding function >0.50)

Left      Right     DNA         Coding Avg   Start
  149948    151147  complement  fr 1   0.74  0.49  

  150198    150374  direct      fr 3   0.63  0.85  
  150237    150374  direct      fr 3   0.68  0.23  
  150282    150374  direct      fr 3   0.53  0.01  
  150288    150374  direct      fr 3   0.53  0.08  

  151642    152505  complement  fr 3   0.83  0.13  
  151642    152442  complement  fr 3   0.82  0.25  
  151642    152343  complement  fr 3   0.80  0.02  

  152906    153244  direct      fr 2   0.62  0.15  
  153053    153244  direct      fr 2   0.53  0.60  

  153388    153687  direct      fr 1   0.83  0.09  
  153394    153687  direct      fr 1   0.83  0.03  
  153415    153687  direct      fr 1   0.82  0.22  

  153740    155152  complement  fr 1   0.89  0.94  
  153740    154927  complement  fr 1   0.91  0.70  
  153740    154885  complement  fr 1   0.91  0.10  
  153740    154555  complement  fr 1   0.90  0.03  

  155168    156541  complement  fr 1   0.75  0.60  
  155168    156505  complement  fr 1   0.77  0.18  
  155168    156469  complement  fr 1   0.78  0.13  
  155168    156373  complement  fr 1   0.83  0.70  
  155168    156292  complement  fr 1   0.83  0.02  
  155168    156154  complement  fr 1   0.82  0.01  
  155168    156097  complement  fr 1   0.81  0.05  

  156559    157761  complement  fr 3   0.88  0.62  
  156559    157674  complement  fr 3   0.89  0.05  
  156559    157449  complement  fr 3   0.92  0.21  
  156559    157389  complement  fr 3   0.91  0.00  

  157761    158315  complement  fr 2   0.85  0.57  
  157761    158309  complement  fr 2   0.85  0.43  
  157761    158255  complement  fr 2   0.87  0.21  
  157761    158177  complement  fr 2   0.85  0.02  
  157761    158081  complement  fr 2   0.82  0.02  

  158318    158650  complement  fr 1   0.59  0.05  
  158318    158587  complement  fr 1   0.70  0.07  
  158318    158536  complement  fr 1   0.72  0.76  
  158318    158440  complement  fr 1   0.53  0.04  

  158664    159104  complement  fr 2   0.79  0.67  
  158664    158894  complement  fr 2   0.77  0.13  
  158664    158888  complement  fr 2   0.76  0.20  

  159117    159794  complement  fr 2   0.70  0.72  
  159117    159719  complement  fr 2   0.71  0.14  
  159117    159638  complement  fr 2   0.71  0.09  
  159117    159602  complement  fr 2   0.74  0.47  
  159117    159527  complement  fr 2   0.72  0.37  

  159781    160590  complement  fr 3   0.73  0.14  
  159781    160473  complement  fr 3   0.82  0.55  
  159781    160410  complement  fr 3   0.83  0.15  
  159781    160386  complement  fr 3   0.83  0.26  

  160591    161448  complement  fr 3   0.86  0.97  
  160591    161298  complement  fr 3   0.88  0.15  
  160591    161259  complement  fr 3   0.88  0.35  
  160591    161247  complement  fr 3   0.88  0.37  

  161418    161894  direct      fr 3   0.57  0.46  
  161424    161894  direct      fr 3   0.57  0.24  
  161511    161894  direct      fr 3   0.68  0.05  
  161577    161894  direct      fr 3   0.78  0.31  
  161769    161894  direct      fr 3   0.66  0.08  

  162010    162813  direct      fr 1   0.80  0.17  
  162040    162813  direct      fr 1   0.81  0.86  
  162073    162813  direct      fr 1   0.81  0.26  
  162145    162813  direct      fr 1   0.79  0.68  

  162917    163627  direct      fr 2   0.64  0.02  
  163268    163627  direct      fr 2   0.71  0.41  

  163698    164717  complement  fr 2   0.73  0.00  
  163698    164693  complement  fr 2   0.75  0.02  
  163698    164666  complement  fr 2   0.77  0.05  
  163698    164561  complement  fr 2   0.84  0.03  
  163698    164534  complement  fr 2   0.84  0.44  
  163698    164462  complement  fr 2   0.83  0.06  

  164678    165970  direct      fr 2   0.88  0.83  
  164906    165970  direct      fr 2   0.91  0.04  
  165008    165970  direct      fr 2   0.90  0.06  
  165041    165970  direct      fr 2   0.90  0.22  

  165936    166298  direct      fr 3   0.80  0.77  
  165963    166298  direct      fr 3   0.89  0.95  
  166041    166298  direct      fr 3   0.86  0.61  
  166059    166298  direct      fr 3   0.85  0.29  

  166255    166791  direct      fr 1   0.68  0.94  
  166264    166791  direct      fr 1   0.70  0.78  
  166267    166791  direct      fr 1   0.70  0.67  
  166279    166791  direct      fr 1   0.71  0.70  
  166282    166791  direct      fr 1   0.71  0.54  
  166411    166791  direct      fr 1   0.84  0.78  
  166423    166791  direct      fr 1   0.84  0.83  
  166429    166791  direct      fr 1   0.83  0.79  

  167018    167707  complement  fr 1   0.60  0.48  
  167018    167701  complement  fr 1   0.60  0.39  

  167714    169582  complement  fr 1   0.87  0.47  
  167714    169498  complement  fr 1   0.89  0.26  
  167714    169345  complement  fr 1   0.89  0.04  
  167714    169258  complement  fr 1   0.89  0.79  

  169725    170543  direct      fr 3   0.87  0.93  
  169758    170543  direct      fr 3   0.91  0.14  
  169857    170543  direct      fr 3   0.89  0.09  
  169938    170543  direct      fr 3   0.88  0.27  

  170568    171356  direct      fr 3   0.83  0.71  
  170571    171356  direct      fr 3   0.85  0.60  
  170601    171356  direct      fr 3   0.87  0.80  
  170610    171356  direct      fr 3   0.89  0.72  
  170700    171356  direct      fr 3   0.89  0.11  
  170712    171356  direct      fr 3   0.89  0.16  
  171126    171356  direct      fr 3   0.76  0.33  

  171564    172085  direct      fr 3   0.73  0.93  
  171579    172085  direct      fr 3   0.77  0.94  
  171648    172085  direct      fr 3   0.81  0.09  
  171753    172085  direct      fr 3   0.78  0.13  

  172036    173523  direct      fr 1   0.81  0.07  
  172054    173523  direct      fr 1   0.82  0.07  
  172150    173523  direct      fr 1   0.85  0.21  
  172186    173523  direct      fr 1   0.86  0.32  
  172363    173523  direct      fr 1   0.87  0.06  
  172384    173523  direct      fr 1   0.86  0.01  

  173689    174201  direct      fr 1   0.80  0.96  
  173809    174201  direct      fr 1   0.86  0.59  
  173842    174201  direct      fr 1   0.85  0.03  
  173989    174201  direct      fr 1   0.77  0.49  

  174201    175268  direct      fr 3   0.89  0.95  
  174330    175268  direct      fr 3   0.92  0.73  
  174594    175268  direct      fr 3   0.89  0.26  
  174672    175268  direct      fr 3   0.88  0.15  

  175269    175517  direct      fr 3   0.58  0.85  
  175404    175517  direct      fr 3   0.62  0.38  

  175493    175858  direct      fr 2   0.70  0.74  
  175508    175858  direct      fr 2   0.72  0.92  
  175547    175858  direct      fr 2   0.80  0.12  

  175858    176694  direct      fr 1   0.83  0.79  
  175996    176694  direct      fr 1   0.86  0.38  
  176008    176694  direct      fr 1   0.86  0.19  
  176020    176694  direct      fr 1   0.85  0.08  

  177234    177380  direct      fr 3   0.65  0.52  
  177258    177380  direct      fr 3   0.70  0.17  
  177282    177380  direct      fr 3   0.64  0.23  

  177602    178261  direct      fr 2   0.89  0.78  
  177614    178261  direct      fr 2   0.91  0.90  
  177686    178261  direct      fr 2   0.92  0.28  
  177713    178261  direct      fr 2   0.92  0.03  
  177728    178261  direct      fr 2   0.92  0.04  

  178443    179606  direct      fr 3   0.80  0.22  
  178614    179606  direct      fr 3   0.78  0.10  
  178761    179606  direct      fr 3   0.80  0.04  

  179641    179946  complement  fr 3   0.70  0.08  
  179641    179901  complement  fr 3   0.76  0.71  
  179641    179898  complement  fr 3   0.76  0.69  
  179641    179832  complement  fr 3   0.73  0.08  

  180066    181322  complement  fr 2   0.84  0.13  
  180066    181265  complement  fr 2   0.87  0.78  
  180066    181163  complement  fr 2   0.86  0.69  
  180066    180521  complement  fr 2   0.77  0.07  

  181357    181860  direct      fr 1   0.77  0.60  
  181507    181860  direct      fr 1   0.82  0.92  
  181573    181860  direct      fr 1   0.78  0.01  
  181600    181860  direct      fr 1   0.76  0.13  

  182101    182832  complement  fr 3   0.71  0.30  
  182101    182487  complement  fr 3   0.63  0.27  
  182101    182436  complement  fr 3   0.66  0.04  
  182101    182382  complement  fr 3   0.69  0.54  
  182101    182370  complement  fr 3   0.69  0.24  

  182894    183181  direct      fr 2   0.84  0.83  

  183614    184780  direct      fr 2   0.78  0.78  
  183701    184780  direct      fr 2   0.80  0.07  
  183710    184780  direct      fr 2   0.80  0.11  
  183716    184780  direct      fr 2   0.80  0.11  

  184865    185512  direct      fr 2   0.85  0.92  
  184964    185512  direct      fr 2   0.85  0.68  
  184997    185512  direct      fr 2   0.83  0.38  
  185006    185512  direct      fr 2   0.83  0.03  

  185558    186127  complement  fr 1   0.79  0.50  
  185558    186019  complement  fr 1   0.82  0.39  
  185558    185962  complement  fr 1   0.81  0.39  
  185558    185854  complement  fr 1   0.77  0.39  

  186127    187884  complement  fr 3   0.91  0.61  
  186127    187707  complement  fr 3   0.91  0.16  
  186127    187596  complement  fr 3   0.91  0.07  
  186127    187560  complement  fr 3   0.90  0.09  

  188036    188785  direct      fr 2   0.67  0.39  
  188045    188785  direct      fr 2   0.68  0.06  
  188288    188785  direct      fr 2   0.54  0.43  
  188327    188785  direct      fr 2   0.51  0.26  

  188807    189958  complement  fr 1   0.63  0.12  
  188807    189907  complement  fr 1   0.64  0.71  
  188807    189874  complement  fr 1   0.62  0.04  
  188807    189865  complement  fr 1   0.62  0.02  

  190150    191004  direct      fr 1   0.71  0.31  
  190288    191004  direct      fr 1   0.72  0.24  
  190300    191004  direct      fr 1   0.72  0.14  
  190306    191004  direct      fr 1   0.72  0.02  

  191283    192383  complement  fr 2   0.79  0.94  
  191283    192281  complement  fr 2   0.78  0.11  
  191283    192230  complement  fr 2   0.77  0.13  
  191283    191990  complement  fr 2   0.72  0.74  

  192444    193007  complement  fr 2   0.54  0.51  

  193273    194826  direct      fr 1   0.92  0.05  
  193423    194826  direct      fr 1   0.91  0.17  
  193549    194826  direct      fr 1   0.90  0.68  

  194906    196672  direct      fr 2   0.75  0.00  
  194912    196672  direct      fr 2   0.75  0.00  
  195371    196672  direct      fr 2   0.80  0.26  
  195641    196672  direct      fr 2   0.78  0.30  
  195896    196672  direct      fr 2   0.79  0.37  
  195944    196672  direct      fr 2   0.78  0.12  

  196685    197005  complement  fr 1   0.67  0.69  
  196685    196882  complement  fr 1   0.70  0.07  
  196685    196840  complement  fr 1   0.63  0.04  

  197006    197629  complement  fr 1   0.82  0.93  
  197006    197590  complement  fr 1   0.86  0.37  
  197006    197512  complement  fr 1   0.84  0.02  
  197006    197407  complement  fr 1   0.83  0.82  

  197881    198597  direct      fr 1   0.89  0.11  
  197920    198597  direct      fr 1   0.88  0.07  
  197926    198597  direct      fr 1   0.88  0.22  

  198633    199721  complement  fr 2   0.92  0.02  
  198633    199661  complement  fr 2   0.92  0.51  
  198633    199601  complement  fr 2   0.91  0.45  

  199813    200811  complement  fr 3   0.73  0.36  
  199813    200763  complement  fr 3   0.72  0.33  
  199813    200631  complement  fr 3   0.71  0.29  
  199813    200568  complement  fr 3   0.71  0.04  
  199813    200460  complement  fr 3   0.76  0.60  
  199813    200370  complement  fr 3   0.76  0.52  

  201307    202113  direct      fr 1   0.81  0.61  
  201382    202113  direct      fr 1   0.79  0.28  
  201499    202113  direct      fr 1   0.76  0.16  

  202110    203504  direct      fr 3   0.84  0.73  
  202233    203504  direct      fr 3   0.86  0.03  
  202299    203504  direct      fr 3   0.85  0.06  
  202512    203504  direct      fr 3   0.83  0.13  

  203534    204202  direct      fr 2   0.79  0.68  
  203564    204202  direct      fr 2   0.81  0.70  
  203666    204202  direct      fr 2   0.80  0.11  
  203708    204202  direct      fr 2   0.79  0.16  
  203759    204202  direct      fr 2   0.78  0.41  

  204199    204786  direct      fr 1   0.83  0.62  
  204241    204786  direct      fr 1   0.88  0.39  
  204619    204786  direct      fr 1   0.71  0.01  

  204713    205594  direct      fr 2   0.74  0.27  
  204731    205594  direct      fr 2   0.75  0.11  
  204773    205594  direct      fr 2   0.78  0.35  
  205052    205594  direct      fr 2   0.76  0.02  
  205124    205594  direct      fr 2   0.74  0.60  

  205598    206317  complement  fr 1   0.89  0.53  
  205598    206251  complement  fr 1   0.88  0.33  
  205598    206224  complement  fr 1   0.88  0.34  

  206550    207767  complement  fr 2   0.82  0.31  
  206550    207737  complement  fr 2   0.83  0.51  
  206550    207725  complement  fr 2   0.84  0.75  
  206550    207614  complement  fr 2   0.83  0.17  
  206550    207587  complement  fr 2   0.82  0.10  

  207881    208153  complement  fr 1   0.62  0.03  
  207881    208108  complement  fr 1   0.75  0.91  

  208229    208975  complement  fr 1   0.89  0.56  
  208229    208672  complement  fr 1   0.82  0.15  
  208229    208654  complement  fr 1   0.82  0.01  

  208999    210303  complement  fr 3   0.90  0.02  
  208999    210279  complement  fr 3   0.90  0.01  
  208999    210192  complement  fr 3   0.91  0.05  

  210766    211878  direct      fr 1   0.66  0.09  
  210922    211878  direct      fr 1   0.74  0.29  
  211021    211878  direct      fr 1   0.74  0.07  
  211312    211878  direct      fr 1   0.64  0.10  
  211339    211878  direct      fr 1   0.63  0.04  
  211369    211878  direct      fr 1   0.62  0.81  

  211878    213080  direct      fr 3   0.78  0.74  
  212187    213080  direct      fr 3   0.83  0.67  
  212274    213080  direct      fr 3   0.82  0.13  
  212304    213080  direct      fr 3   0.81  0.18  

  213077    213634  direct      fr 2   0.69  0.59  
  213329    213634  direct      fr 2   0.72  0.53  
  213416    213634  direct      fr 2   0.77  0.35  
  213473    213634  direct      fr 2   0.72  0.56  

  213622    214221  direct      fr 1   0.63  0.84  
  213664    214221  direct      fr 1   0.68  0.59  
  213838    214221  direct      fr 1   0.67  0.65  

  214631    214876  complement  fr 1   0.61  0.74  

  215082    215432  complement  fr 2   0.62  0.71  
  215082    215390  complement  fr 2   0.68  0.28  

  215862    216221  complement  fr 2   0.75  0.16  

  216232    217005  complement  fr 3   0.67  0.09  
  216232    216927  complement  fr 3   0.69  0.65  
  216232    216918  complement  fr 3   0.69  0.14  
  216232    216870  complement  fr 3   0.66  0.08  

  217993    218283  complement  fr 3   0.64  0.55  
  217993    218280  complement  fr 3   0.67  0.36  
  217993    218250  complement  fr 3   0.73  0.19  
  217993    218232  complement  fr 3   0.71  0.23  
  217993    218208  complement  fr 3   0.69  0.59  

  218371    218736  direct      fr 1   0.58  0.24  
  218416    218736  direct      fr 1   0.60  0.69  
  218437    218736  direct      fr 1   0.59  0.04  
  218530    218736  direct      fr 1   0.71  0.17  
  218533    218736  direct      fr 1   0.72  0.21  

  218773    220086  complement  fr 3   0.76  0.04  
  218773    220005  complement  fr 3   0.80  0.81  
  218773    219906  complement  fr 3   0.79  0.66  
  218773    219882  complement  fr 3   0.79  0.05  

  220083    221519  complement  fr 2   0.64  0.20  
  220083    221432  complement  fr 2   0.65  0.13  
  220083    221408  complement  fr 2   0.65  0.02  
  220083    221357  complement  fr 2   0.67  0.57  
  220083    221285  complement  fr 2   0.67  0.07  
  220083    221279  complement  fr 2   0.67  0.01  
  220083    221225  complement  fr 2   0.68  0.27  
  220083    221159  complement  fr 2   0.72  0.06  
  220083    221144  complement  fr 2   0.73  0.01  
  220083    221105  complement  fr 2   0.74  0.76  

  221516    223366  complement  fr 1   0.78  0.28  
  221516    223120  complement  fr 1   0.80  0.37  
  221516    223063  complement  fr 1   0.79  0.32  
  221516    223003  complement  fr 1   0.78  0.24  

  223363    223560  complement  fr 3   0.57  0.15  
  223363    223536  complement  fr 3   0.61  0.05  
  223363    223479  complement  fr 3   0.52  0.43  

  223655    224128  complement  fr 1   0.64  0.03  
  223655    224035  complement  fr 1   0.72  0.12  
  223655    224032  complement  fr 1   0.72  0.10  
  223655    223966  complement  fr 1   0.72  0.39  

  224125    224676  complement  fr 3   0.71  0.68  
  224125    224652  complement  fr 3   0.70  0.41  
  224125    224601  complement  fr 3   0.67  0.02  

  224673    225629  complement  fr 2   0.71  0.11  
  224673    225623  complement  fr 2   0.72  0.02  
  224673    225539  complement  fr 2   0.71  0.42  
  224673    225404  complement  fr 2   0.67  0.18  
  224673    225401  complement  fr 2   0.67  0.08  

  225640    227283  complement  fr 3   0.88  0.33  
  225640    227091  complement  fr 3   0.88  0.08  
  225640    226947  complement  fr 3   0.92  0.14  
  225640    226899  complement  fr 3   0.91  0.15  
  225640    226818  complement  fr 3   0.91  0.03  

  227283    227756  complement  fr 2   0.66  0.09  
  227283    227705  complement  fr 2   0.72  0.07  
  227283    227669  complement  fr 2   0.77  0.68  
  227283    227657  complement  fr 2   0.79  0.34  
  227283    227558  complement  fr 2   0.76  0.07  
  227283    227525  complement  fr 2   0.74  0.24  

  227740    228123  complement  fr 3   0.59  0.55  
  227740    228099  complement  fr 3   0.63  0.76  
  227740    227907  complement  fr 3   0.60  0.57  
  227740    227895  complement  fr 3   0.60  0.26  
  227740    227877  complement  fr 3   0.54  0.17  

  228371    228589  direct      fr 2   0.68  0.95  

  228735    228962  direct      fr 3   0.64  0.91  

  228969    229187  direct      fr 3   0.57  0.88  
  229056    229187  direct      fr 3   0.65  0.06  

  229696    229980  complement  fr 3   0.52  0.03  
  229696    229944  complement  fr 3   0.56  0.37  

  230068    230772  complement  fr 3   0.78  0.37  
  230068    230733  complement  fr 3   0.82  0.16  
  230068    230721  complement  fr 3   0.82  0.29  
  230068    230574  complement  fr 3   0.79  0.02  

  230868    231947  direct      fr 3   0.89  0.83  
  230982    231947  direct      fr 3   0.91  0.08  
  231153    231947  direct      fr 3   0.91  0.08  
  231156    231947  direct      fr 3   0.91  0.11  

  231924    232286  complement  fr 2   0.71  0.09  
  231924    232262  complement  fr 2   0.76  0.13  
  231924    232259  complement  fr 2   0.79  0.28  
  231924    232235  complement  fr 2   0.80  0.78  
  231924    232139  complement  fr 2   0.71  0.12  

  232344    233051  direct      fr 3   0.67  0.93  
  232422    233051  direct      fr 3   0.70  0.01  
  232608    233051  direct      fr 3   0.74  0.35  
  232908    233051  direct      fr 3   0.58  0.49  

  233366    234007  complement  fr 1   0.72  0.92  
  233366    233725  complement  fr 1   0.69  0.90  
  233366    233596  complement  fr 1   0.56  0.06  

  234120    234950  direct      fr 3   0.88  0.31  
  234129    234950  direct      fr 3   0.90  0.24  
  234141    234950  direct      fr 3   0.91  0.76  
  234168    234950  direct      fr 3   0.94  0.67  
  234240    234950  direct      fr 3   0.95  0.06  
  234597    234950  direct      fr 3   0.90  0.04  
  234714    234950  direct      fr 3   0.85  0.12  

  234954    235808  direct      fr 3   0.78  0.29  
  235134    235808  direct      fr 3   0.83  0.58  
  235152    235808  direct      fr 3   0.83  0.05  
  235257    235808  direct      fr 3   0.81  0.07  

  235903    236583  complement  fr 3   0.84  0.08  
  235903    236478  complement  fr 3   0.88  0.02  
  235903    236457  complement  fr 3   0.87  0.07  
  235903    236382  complement  fr 3   0.85  0.02  

  236732    239311  direct      fr 2   0.89  0.81  
  236765    239311  direct      fr 2   0.91  0.27  
  236882    239311  direct      fr 2   0.92  0.86  
  236894    239311  direct      fr 2   0.92  0.29  
  236936    239311  direct      fr 2   0.92  0.01  

  239566    240756  direct      fr 1   0.88  0.58  
  239773    240756  direct      fr 1   0.90  0.24  
  239959    240756  direct      fr 1   0.89  0.30  
  239965    240756  direct      fr 1   0.88  0.22  

  240743    241894  direct      fr 2   0.87  0.55  
  240758    241894  direct      fr 2   0.89  0.75  
  241097    241894  direct      fr 2   0.86  0.50  
  241229    241894  direct      fr 2   0.89  0.50  

  241894    242466  direct      fr 1   0.87  0.62  
  241939    242466  direct      fr 1   0.87  0.15  
  241948    242466  direct      fr 1   0.86  0.21  

  242463    243461  direct      fr 3   0.85  0.95  
  242568    243461  direct      fr 3   0.85  0.01  
  242670    243461  direct      fr 3   0.83  0.15  
  242877    243461  direct      fr 3   0.88  0.72  

  243458    244627  direct      fr 2   0.87  0.49  
  243524    244627  direct      fr 2   0.91  0.65  
  243569    244627  direct      fr 2   0.90  0.04  
  243578    244627  direct      fr 2   0.90  0.05  

  244624    245670  direct      fr 1   0.87  0.13  
  244996    245670  direct      fr 1   0.89  0.13  
  245053    245670  direct      fr 1   0.89  0.36  
  245062    245670  direct      fr 1   0.89  0.56  

  246055    246579  direct      fr 1   0.82  0.08  
  246202    246579  direct      fr 1   0.79  0.26  
  246346    246579  direct      fr 1   0.71  0.29  

  246576    247280  direct      fr 3   0.79  0.21  
  246774    247280  direct      fr 3   0.84  0.02  
  246798    247280  direct      fr 3   0.83  0.13  
  246846    247280  direct      fr 3   0.81  0.04  

  247270    248040  direct      fr 1   0.83  0.56  
  247291    248040  direct      fr 1   0.86  0.97  
  247600    248040  direct      fr 1   0.85  0.17  
  247753    248040  direct      fr 1   0.81  0.17  
  247759    248040  direct      fr 1   0.81  0.08  

  248057    248812  direct      fr 2   0.85  0.41  
  248150    248812  direct      fr 2   0.92  0.31  
  248195    248812  direct      fr 2   0.91  0.01  
  248249    248812  direct      fr 2   0.90  0.54  

  248809    249411  direct      fr 1   0.74  0.80  
  248932    249411  direct      fr 1   0.78  0.03  
  248977    249411  direct      fr 1   0.75  0.18  
  249004    249411  direct      fr 1   0.74  0.06  

  249420    250634  direct      fr 3   0.83  0.43  
  249483    250634  direct      fr 3   0.87  0.48  
  249690    250634  direct      fr 3   0.84  0.88  
  249753    250634  direct      fr 3   0.84  0.17  

  250649    251188  direct      fr 2   0.78  0.62  
  250664    251188  direct      fr 2   0.79  0.59  
  250694    251188  direct      fr 2   0.85  0.17  
  250733    251188  direct      fr 2   0.84  0.13  
  250754    251188  direct      fr 2   0.85  0.24  

  251191    252714  direct      fr 1   0.64  0.67  
  251224    252714  direct      fr 1   0.65  0.24  
  251245    252714  direct      fr 1   0.64  0.12  
  251659    252714  direct      fr 1   0.66  0.03  

  252714    254546  direct      fr 3   0.77  0.73  
  252726    254546  direct      fr 3   0.77  0.40  
  252774    254546  direct      fr 3   0.79  0.40  
  252915    254546  direct      fr 3   0.77  0.11  
  253074    254546  direct      fr 3   0.77  0.40  

  254539    255207  direct      fr 1   0.68  0.12  
  254605    255207  direct      fr 1   0.73  0.80  
  254710    255207  direct      fr 1   0.71  0.43  
  254725    255207  direct      fr 1   0.72  0.29  
  254938    255207  direct      fr 1   0.83  0.03  

  255179    255775  direct      fr 2   0.68  0.30  
  255200    255775  direct      fr 2   0.71  0.04  
  255374    255775  direct      fr 2   0.83  0.07  

  255776    256906  direct      fr 2   0.80  0.79  
  256046    256906  direct      fr 2   0.84  0.14  
  256235    256906  direct      fr 2   0.84  0.21  
  256364    256906  direct      fr 2   0.84  0.41  

  256903    257889  direct      fr 1   0.69  0.75  
  256981    257889  direct      fr 1   0.73  0.26  
  257002    257889  direct      fr 1   0.73  0.01  
  257044    257889  direct      fr 1   0.72  0.17  

  257886    258686  direct      fr 3   0.70  0.62  
  257940    258686  direct      fr 3   0.75  0.20  
  257946    258686  direct      fr 3   0.75  0.22  
  258195    258686  direct      fr 3   0.70  0.65  

  259103    259504  direct      fr 2   0.55  0.20  

  259504    260334  direct      fr 1   0.61  0.82  
  259519    260334  direct      fr 1   0.62  0.38  
  259612    260334  direct      fr 1   0.68  0.84  
  259753    260334  direct      fr 1   0.67  0.04  
  259813    260334  direct      fr 1   0.71  0.49  
  259861    260334  direct      fr 1   0.73  0.45  
  259909    260334  direct      fr 1   0.71  0.01  

  260331    261473  direct      fr 3   0.84  0.61  
  260619    261473  direct      fr 3   0.87  0.24  
  260634    261473  direct      fr 3   0.87  0.33  
  260697    261473  direct      fr 3   0.86  0.08  

  261474    262349  direct      fr 3   0.80  0.47  
  261480    262349  direct      fr 3   0.80  0.68  
  261507    262349  direct      fr 3   0.83  0.12  
  261642    262349  direct      fr 3   0.87  0.80  
  261744    262349  direct      fr 3   0.85  0.09  
  261828    262349  direct      fr 3   0.83  0.29  

  262428    262679  direct      fr 3   0.59  0.30  
  262512    262679  direct      fr 3   0.74  0.07  
  262545    262679  direct      fr 3   0.67  0.01  

  262703    263740  direct      fr 2   0.85  0.01  
  262883    263740  direct      fr 2   0.92  0.03  
  262940    263740  direct      fr 2   0.92  0.06  
  263030    263740  direct      fr 2   0.91  0.12  

  263791    264300  direct      fr 1   0.78  0.26  
  263806    264300  direct      fr 1   0.79  0.21  
  263863    264300  direct      fr 1   0.82  0.26  
  263926    264300  direct      fr 1   0.82  0.44  
  263941    264300  direct      fr 1   0.81  0.01  

  264463    265347  direct      fr 1   0.77  0.78  
  264502    265347  direct      fr 1   0.76  0.04  
  264547    265347  direct      fr 1   0.75  0.31  

  265347    266081  direct      fr 3   0.75  0.51  
  265422    266081  direct      fr 3   0.77  0.12  
  265467    266081  direct      fr 3   0.76  0.04  
  265491    266081  direct      fr 3   0.76  0.27  

  266083    267528  direct      fr 1   0.74  0.55  
  266113    267528  direct      fr 1   0.76  0.11  
  266398    267528  direct      fr 1   0.81  0.15  
  266413    267528  direct      fr 1   0.83  0.20  
  266458    267528  direct      fr 1   0.84  0.48  
  266491    267528  direct      fr 1   0.84  0.36  

  267540    271310  direct      fr 3   0.86  0.59  
  267819    271310  direct      fr 3   0.87  0.07  
  268932    271310  direct      fr 3   0.88  0.17  
  268938    271310  direct      fr 3   0.88  0.16  

  271297    272091  direct      fr 1   0.83  0.56  
  271723    272091  direct      fr 1   0.79  0.43  
  271801    272091  direct      fr 1   0.74  0.38  
  271963    272091  direct      fr 1   0.64  0.69  

  272305    273342  direct      fr 1   0.89  0.74  
  272413    273342  direct      fr 1   0.90  0.79  
  272488    273342  direct      fr 1   0.90  0.08  
  272497    273342  direct      fr 1   0.90  0.12  

  273339    273821  direct      fr 3   0.64  0.57  
  273342    273821  direct      fr 3   0.64  0.39  
  273495    273821  direct      fr 3   0.59  0.12  

  273806    275101  direct      fr 2   0.57  0.78  
  273818    275101  direct      fr 2   0.58  0.45  
  273833    275101  direct      fr 2   0.58  0.59  
  273896    275101  direct      fr 2   0.58  0.22  
  273977    275101  direct      fr 2   0.61  0.29  
  273995    275101  direct      fr 2   0.61  0.74  
  274019    275101  direct      fr 2   0.62  0.77  
  274046    275101  direct      fr 2   0.61  0.04  

  275111    275608  direct      fr 2   0.64  0.80  
  275177    275608  direct      fr 2   0.70  0.05  
  275258    275608  direct      fr 2   0.76  0.09  
  275291    275608  direct      fr 2   0.80  0.63  
  275354    275608  direct      fr 2   0.77  0.32  

  275664    275762  complement  fr 2   0.51  0.28  

  275973    276800  direct      fr 3   0.80  0.22  
  276153    276800  direct      fr 3   0.84  0.63  
  276186    276800  direct      fr 3   0.83  0.36  
  276312    276800  direct      fr 3   0.79  0.01  

  276793    278067  direct      fr 1   0.67  0.51  
  276832    278067  direct      fr 1   0.69  0.25  
  276910    278067  direct      fr 1   0.72  0.35  
  276946    278067  direct      fr 1   0.73  0.33  
  276979    278067  direct      fr 1   0.73  0.37  
  276991    278067  direct      fr 1   0.73  0.40  
  277030    278067  direct      fr 1   0.72  0.41  

  278064    279920  direct      fr 3   0.73  0.05  
  278220    279920  direct      fr 3   0.77  0.32  
  278454    279920  direct      fr 3   0.74  0.17  
  278499    279920  direct      fr 3   0.73  0.13  

  279923    280756  direct      fr 2   0.82  0.97  
  280067    280756  direct      fr 2   0.85  0.14  
  280133    280756  direct      fr 2   0.86  0.45  
  280178    280756  direct      fr 2   0.86  0.52  

  280796    282847  direct      fr 2   0.80  0.01  
  280799    282847  direct      fr 2   0.80  0.00  
  281090    282847  direct      fr 2   0.85  0.07  
  281099    282847  direct      fr 2   0.85  0.20  
  281312    282847  direct      fr 2   0.84  0.36  

  282865    283833  complement  fr 3   0.78  0.33  
  282865    283797  complement  fr 3   0.81  0.17  
  282865    283653  complement  fr 3   0.80  0.33  
  282865    283470  complement  fr 3   0.74  0.19  
